#{"t_start": 1781994639.7331696, "env_id": "CartPole-v1"}
r,l,t
111.0,111,416.75361
101.0,101,417.146936
111.0,111,417.544594
109.0,109,417.907154
114.0,114,418.299353
104.0,104,418.60658
111.0,111,418.998095
113.0,113,419.354203
104.0,104,419.712204
117.0,117,420.128751
113.0,113,420.523726
106.0,106,420.919659
121.0,121,421.340657
103.0,103,421.725659
118.0,118,422.133658
122.0,122,422.572206
121.0,121,423.132721
125.0,125,423.548258
126.0,126,424.041857
120.0,120,424.501815
117.0,117,424.900773
104.0,104,425.273224
114.0,114,425.639312
106.0,106,425.965314
113.0,113,426.319319
127.0,127,426.702316
125.0,125,427.093395
113.0,113,427.447392
110.0,110,427.766389
112.0,112,428.139926
128.0,128,428.551928
113.0,113,428.887931
126.0,126,429.258928
114.0,114,429.60093
118.0,118,430.010928
125.0,125,430.391512
110.0,110,430.791324
119.0,119,431.217749
118.0,118,431.632508
113.0,113,432.029402
118.0,118,432.430402
120.0,120,432.929402
133.0,133,433.383407
121.0,121,433.748953
123.0,123,434.287958
109.0,109,434.641949
121.0,121,435.036944
113.0,113,435.415951
124.0,124,435.77995
119.0,119,436.169947
107.0,107,436.495949
119.0,119,436.887022
116.0,116,437.238024
143.0,143,437.691022
132.0,132,438.062024
104.0,104,438.404017
111.0,111,438.757021
130.0,130,439.225573
113.0,113,439.635575
123.0,123,440.036573
125.0,125,440.449573
129.0,129,440.842573
129.0,129,441.220799
113.0,113,441.55885
128.0,128,441.951983
119.0,119,442.315814
123.0,123,442.706842
116.0,116,443.097905
114.0,114,443.535041
127.0,127,443.956844
122.0,122,444.330968
137.0,137,444.798671
116.0,116,445.171573
119.0,119,445.510571
128.0,128,445.887581
125.0,125,446.25009
112.0,112,446.597038
121.0,121,447.028478
118.0,118,447.418059
119.0,119,447.824532
110.0,110,448.191013
120.0,120,448.606558
143.0,143,449.130028
176.0,176,449.700928
118.0,118,450.070288
138.0,138,450.572132
110.0,110,450.910886
121.0,121,451.301795
199.0,199,451.844805
123.0,123,452.220803
127.0,127,452.598805
139.0,139,453.040805
124.0,124,453.399802
166.0,166,453.887804
121.0,121,454.280804
142.0,142,454.702797
121.0,121,455.086394
135.0,135,455.505731
117.0,117,455.888927
124.0,124,456.292052
107.0,107,456.599866
139.0,139,457.040191
138.0,138,457.439184
138.0,138,457.802181
126.0,126,458.14519
119.0,119,458.514184
158.0,158,458.939175
121.0,121,459.269183
118.0,118,459.607183
116.0,116,459.97418
113.0,113,460.302173
116.0,116,460.623181
116.0,116,460.966181
117.0,117,461.343736
115.0,115,461.665735
118.0,118,461.969727
150.0,150,462.396733
119.0,119,462.730742
119.0,119,463.089734
118.0,118,463.453733
117.0,117,463.760735
118.0,118,464.133735
119.0,119,464.506737
126.0,126,464.899735
117.0,117,465.357734
113.0,113,465.730729
122.0,122,466.075732
130.0,130,466.459732
126.0,126,466.893368
135.0,135,467.278369
129.0,129,467.689784
121.0,121,468.056427
133.0,133,468.448769
128.0,128,468.868004
121.0,121,469.250704
174.0,174,469.776382
125.0,125,470.126382
119.0,119,470.46138
129.0,129,470.814383
137.0,137,471.21338
132.0,132,471.58238
131.0,131,471.959379
115.0,115,472.342604
131.0,131,472.727607
117.0,117,473.101607
123.0,123,473.521608
114.0,114,473.867609
119.0,119,474.346726
117.0,117,474.79721
116.0,116,475.218655
114.0,114,475.677784
112.0,112,476.109434
125.0,125,476.565522
117.0,117,476.986268
126.0,126,477.389412
118.0,118,477.777961
109.0,109,478.138961
129.0,129,478.570968
110.0,110,478.92696
110.0,110,479.30224
120.0,120,479.728233
114.0,114,480.135236
114.0,114,480.547231
109.0,109,480.939232
111.0,111,481.31523
117.0,117,481.72523
113.0,113,482.125233
118.0,118,482.497233
109.0,109,482.857231
110.0,110,483.221782
113.0,113,483.553778
114.0,114,483.887784
108.0,108,484.332783
117.0,117,484.694784
119.0,119,485.04178
113.0,113,485.368339
127.0,127,485.761013
108.0,108,486.098553
114.0,114,486.463611
112.0,112,486.839949
112.0,112,487.180335
123.0,123,487.527896
111.0,111,487.867851
121.0,121,488.238568
121.0,121,488.639573
123.0,123,489.069412
116.0,116,489.424918
110.0,110,489.794472
114.0,114,490.181763
127.0,127,490.618149
124.0,124,491.046015
118.0,118,491.453224
118.0,118,491.859514
130.0,130,492.306822
112.0,112,492.630946
118.0,118,493.007378
108.0,108,493.35881
126.0,126,493.772398
119.0,119,494.10476
121.0,121,494.451765
109.0,109,494.784768
118.0,118,495.147764
119.0,119,495.480764
131.0,131,495.871764
129.0,129,496.276766
120.0,120,496.620765
134.0,134,497.010991
127.0,127,497.464302
119.0,119,497.886981
121.0,121,498.320045
142.0,142,498.784825
129.0,129,499.204825
118.0,118,499.624045
122.0,122,500.057139
132.0,132,500.47222
121.0,121,500.850461
112.0,112,501.172122
121.0,121,501.553602
114.0,114,501.911873
113.0,113,502.255271
129.0,129,502.64786
120.0,120,503.062288
138.0,138,503.493744
111.0,111,503.850739
132.0,132,504.293971
132.0,132,504.691144
113.0,113,505.076176
121.0,121,505.530761
133.0,133,505.925877
130.0,130,506.381024
117.0,117,506.775832
129.0,129,507.222335
142.0,142,507.721621
123.0,123,508.169775
127.0,127,508.636747
145.0,145,509.110388
112.0,112,509.448151
118.0,118,509.798767
129.0,129,510.211526
170.0,170,510.814644
139.0,139,511.287607
117.0,117,511.645589
117.0,117,512.040948
134.0,134,512.446514
125.0,125,512.815633
165.0,165,513.347202
123.0,123,513.72434
127.0,127,514.130024
165.0,165,514.677719
115.0,115,515.093977
95.0,95,515.560987
155.0,155,516.096036
100.0,100,516.467792
109.0,109,516.857903
129.0,129,517.208903
117.0,117,517.548898
123.0,123,517.874902
113.0,113,518.211901
114.0,114,518.557897
111.0,111,518.87191
114.0,114,519.240903
116.0,116,519.608903
105.0,105,519.933903
112.0,112,520.276902
121.0,121,520.594903
116.0,116,520.931903
108.0,108,521.225901
123.0,123,521.606907
116.0,116,521.956445
111.0,111,522.321575
104.0,104,522.684889
115.0,115,523.09092
116.0,116,523.495634
109.0,109,523.856634
118.0,118,524.259086
118.0,118,524.669479
114.0,114,525.00113
108.0,108,525.36025
111.0,111,525.731697
109.0,109,526.078899
116.0,116,526.413904
115.0,115,526.744378
123.0,123,527.151531
117.0,117,527.552145
119.0,119,527.949533
110.0,110,528.302132
119.0,119,528.664367
116.0,116,528.978059
113.0,113,529.31958
117.0,117,529.665174
124.0,124,530.101859
116.0,116,530.543938
118.0,118,530.941224
115.0,115,531.340084
114.0,114,531.756871
115.0,115,532.147008
110.0,110,532.483014
120.0,120,532.868556
113.0,113,533.250556
119.0,119,533.603556
117.0,117,533.944566
119.0,119,534.289556
118.0,118,534.600557
117.0,117,534.929352
126.0,126,535.331116
117.0,117,535.69692
115.0,115,536.049592
117.0,117,536.377587
124.0,124,536.76459
122.0,122,537.126666
122.0,122,537.502666
113.0,113,537.846663
114.0,114,538.157218
125.0,125,538.585211
121.0,121,538.940217
117.0,117,539.340217
111.0,111,539.694216
114.0,114,540.072217
123.0,123,540.484216
129.0,129,540.911213
117.0,117,541.315214
122.0,122,541.679216
119.0,119,541.982215
116.0,116,542.312224
121.0,121,542.660217
133.0,133,543.088218
126.0,126,543.512216
119.0,119,543.944774
119.0,119,544.430777
130.0,130,544.989775
128.0,128,545.406774
113.0,113,545.827772
120.0,120,546.248775
126.0,126,546.732775
118.0,118,547.172863
110.0,110,547.601337
126.0,126,548.090558
113.0,113,548.520825
119.0,119,548.938254
116.0,116,549.311684
130.0,130,549.730511
127.0,127,550.130945
121.0,121,550.491989
126.0,126,550.877689
118.0,118,551.239785
111.0,111,551.607934
123.0,123,552.018072
128.0,128,552.426527
124.0,124,552.781156
130.0,130,553.217331
118.0,118,553.584445
125.0,125,553.952481
113.0,113,554.298172
118.0,118,554.656147
117.0,117,555.039695
120.0,120,555.379695
113.0,113,555.721698
120.0,120,556.073697
121.0,121,556.404704
116.0,116,556.763697
117.0,117,557.12677
112.0,112,557.437773
113.0,113,557.801724
119.0,119,558.168551
125.0,125,558.55055
120.0,120,558.910548
128.0,128,559.281548
130.0,130,559.679551
121.0,121,560.039546
116.0,116,560.416102
126.0,126,560.803097
133.0,133,561.184102
118.0,118,561.491102
123.0,123,561.8821
124.0,124,562.194098
119.0,119,562.582102
114.0,114,562.943103
121.0,121,563.362097
125.0,125,563.705099
122.0,122,564.050105
127.0,127,564.446123
127.0,127,564.821255
127.0,127,565.146253
125.0,125,565.523257
126.0,126,565.939806
130.0,130,566.399128
122.0,122,566.803488
109.0,109,567.14946
125.0,125,567.549348
119.0,119,567.969506
118.0,118,568.350577
115.0,115,568.716381
121.0,121,569.105778
117.0,117,569.482843
120.0,120,569.84088
117.0,117,570.220692
118.0,118,570.538699
125.0,125,570.950611
117.0,117,571.320958
115.0,115,571.689703
121.0,121,572.074396
121.0,121,572.457629
120.0,120,572.818968
115.0,115,573.192524
119.0,119,573.58652
128.0,128,573.979522
126.0,126,574.353786
135.0,135,574.823022
118.0,118,575.182282
119.0,119,575.551061
130.0,130,575.928063
123.0,123,576.29506
121.0,121,576.63506
125.0,125,577.034715
128.0,128,577.424715
124.0,124,577.789714
127.0,127,578.142713
115.0,115,578.514713
130.0,130,578.975942
128.0,128,579.477542
130.0,130,580.016025
120.0,120,580.451026
123.0,123,580.897106
130.0,130,581.340068
117.0,117,581.75658
127.0,127,582.187527
121.0,121,582.675662
132.0,132,583.21928
132.0,132,583.725571
138.0,138,584.30375
119.0,119,584.77
120.0,120,585.192413
118.0,118,585.620945
144.0,144,586.115943
121.0,121,586.56858
114.0,114,586.968687
120.0,120,587.442409
123.0,123,587.904733
130.0,130,588.459138
122.0,122,588.933554
127.0,127,589.433051
126.0,126,589.95017
123.0,123,590.427895
133.0,133,590.948869
129.0,129,591.439494
135.0,135,591.964135
123.0,123,592.445665
123.0,123,592.934978
126.0,126,593.394216
127.0,127,593.901894
120.0,120,594.289899
131.0,131,594.776703
123.0,123,595.23614
123.0,123,595.767969
122.0,122,596.203904
123.0,123,596.639539
119.0,119,597.076755
134.0,134,597.693122
122.0,122,598.117303
120.0,120,598.525993
147.0,147,599.083045
131.0,131,599.619191
120.0,120,600.024188
134.0,134,600.503191
136.0,136,600.979191
125.0,125,601.42919
130.0,130,601.870457
135.0,135,602.297915
145.0,145,602.782481
128.0,128,603.224311
135.0,135,603.677149
139.0,139,604.150824
128.0,128,604.606601
130.0,130,605.127363
117.0,117,605.521928
125.0,125,605.933542
122.0,122,606.358997
129.0,129,606.773769
124.0,124,607.138838
130.0,130,607.58284
120.0,120,607.981841
128.0,128,608.491838
115.0,115,608.91684
130.0,130,609.444838
127.0,127,609.955839
121.0,121,610.434389
132.0,132,610.94239
120.0,120,611.332392
121.0,121,611.734387
123.0,123,612.169391
121.0,121,612.540386
143.0,143,612.988862
127.0,127,613.485903
134.0,134,613.972926
124.0,124,614.411052
142.0,142,614.930462
144.0,144,615.384994
131.0,131,615.818543
126.0,126,616.218529
126.0,126,616.618534
132.0,132,617.083612
129.0,129,617.565609
134.0,134,618.049656
132.0,132,618.61688
124.0,124,619.131304
132.0,132,619.713676
132.0,132,620.222557
130.0,130,620.710522
136.0,136,621.188836
126.0,126,621.665179
140.0,140,622.133604
148.0,148,622.693668
121.0,121,623.106667
135.0,135,623.564665
137.0,137,623.949665
132.0,132,624.380074
136.0,136,624.815766
126.0,126,625.242976
120.0,120,625.677708
126.0,126,626.082168
134.0,134,626.515018
126.0,126,626.903397
129.0,129,627.316934
122.0,122,627.748938
116.0,116,628.148937
130.0,130,628.638136
128.0,128,629.069137
128.0,128,629.518136
139.0,139,630.110136
137.0,137,630.592136
117.0,117,630.958134
131.0,131,631.314136
134.0,134,631.713136
119.0,119,632.026135
