#{"t_start": 1781856978.2918658, "env_id": "CartPole-v1"}
r,l,t
19.0,19,9.785354
28.0,28,9.838353
21.0,21,9.870353
22.0,22,9.914362
16.0,16,9.939347
21.0,21,9.972347
28.0,28,10.029347
49.0,49,10.115353
12.0,12,10.137348
15.0,15,10.174352
23.0,23,10.21435
21.0,21,10.25635
46.0,46,10.347353
11.0,11,10.363346
8.0,8,10.373348
18.0,18,10.399346
16.0,16,10.425356
12.0,12,10.460351
15.0,15,10.486352
18.0,18,10.511352
20.0,20,10.541352
22.0,22,10.595352
25.0,25,10.634352
12.0,12,10.653352
20.0,20,10.695351
13.0,13,10.722353
46.0,46,10.815348
18.0,18,10.84535
27.0,27,10.886352
18.0,18,10.929353
11.0,11,10.954355
15.0,15,10.980346
28.0,28,11.036355
23.0,23,11.079352
50.0,50,11.168352
18.0,18,11.200352
30.0,30,11.255347
40.0,40,11.317349
28.0,28,11.367349
11.0,11,11.386349
25.0,25,11.418344
14.0,14,11.461346
64.0,64,11.573347
29.0,29,11.618348
15.0,15,11.644362
25.0,25,11.708352
12.0,12,11.72636
20.0,20,11.758351
19.0,19,11.803351
31.0,31,11.849361
17.0,17,11.873361
18.0,18,11.906346
21.0,21,11.934346
16.0,16,11.965352
51.0,51,12.052351
26.0,26,12.097352
15.0,15,12.116352
14.0,14,12.155353
16.0,16,12.174874
20.0,20,12.19941
16.0,16,12.22849
50.0,50,12.326491
14.0,14,12.36049
9.0,9,12.373491
27.0,27,12.422788
12.0,12,12.450951
18.0,18,12.487862
33.0,33,12.547217
42.0,42,12.64064
24.0,24,12.688945
28.0,28,12.744515
18.0,18,12.774532
45.0,45,12.858218
16.0,16,12.900831
52.0,52,12.994059
30.0,30,13.049636
15.0,15,13.070169
29.0,29,13.117861
15.0,15,13.155932
49.0,49,13.229933
23.0,23,13.281933
13.0,13,13.30693
36.0,36,13.376935
18.0,18,13.413934
12.0,12,13.433928
35.0,35,13.52393
17.0,17,13.553932
17.0,17,13.584929
20.0,20,13.633933
35.0,35,13.696933
31.0,31,13.759933
20.0,20,13.791933
11.0,11,13.807936
31.0,31,13.884941
10.0,10,13.90594
14.0,14,13.927934
10.0,10,13.959926
19.0,19,13.989943
44.0,44,14.044943
12.0,12,14.071926
20.0,20,14.100933
16.0,16,14.127936
16.0,16,14.148936
9.0,9,14.176933
22.0,22,14.208936
14.0,14,14.250937
14.0,14,14.289931
11.0,11,14.312937
25.0,25,14.35394
33.0,33,14.417933
16.0,16,14.445927
11.0,11,14.464933
10.0,10,14.484934
19.0,19,14.52593
11.0,11,14.541935
13.0,13,14.556929
19.0,19,14.580928
13.0,13,14.605944
14.0,14,14.645937
16.0,16,14.674933
48.0,48,14.770934
35.0,35,14.824937
24.0,24,14.869933
10.0,10,14.883942
26.0,26,14.927933
19.0,19,14.96695
19.0,19,14.993927
10.0,10,15.009927
13.0,13,15.024926
21.0,21,15.091933
22.0,22,15.144935
23.0,23,15.184931
18.0,18,15.223925
18.0,18,15.253933
30.0,30,15.31293
12.0,12,15.32893
15.0,15,15.348927
13.0,13,15.370925
17.0,17,15.390926
24.0,24,15.433933
23.0,23,15.474937
18.0,18,15.515931
30.0,30,15.584932
15.0,15,15.615932
12.0,12,15.644928
14.0,14,15.667931
16.0,16,15.690925
22.0,22,15.724928
12.0,12,15.75593
14.0,14,15.780933
64.0,64,15.870928
